Name,BSE Code,NSE Code,Industry,Current Price,Promoter holding,Sales,Current ratio,Debt to equity,Price to book value,Return on capital employed,Return on equity,Price to Earning,Dividend yield,Market Capitalization,Cash end of last year,High price all time,Dividend Payout
KIC Metaliks,513693,,Castings & Forgings,51.65,62.43,642.71,1.53,0.59,1.16,10.54,6.94,7.26,0.00,183.34,11.23,127.40,0.00
Kiduja India,507946,,Finance & Investments,117.05,65.01,6.47,0.17,,,,,6.62,0.00,20.07,0.00,367.55,0.00
KIFS Financial,535566,,Finance & Investments,38.25,74.41,21.25,12.14,4.52,1.18,10.35,11.19,11.19,3.27,41.39,34.46,135.00,35.62
Kilburn Engg.,522101,KILBUNENGG,Engineering,28.35,57.45,96.64,1.99,1.63,1.58,6.96,45.66,2.30,0.00,79.96,13.01,116.40,0.00
Kilitch Drugs,524500,KILITCH,Pharmaceuticals - Indian - Formulations,174.05,68.33,77.95,0.75,0.12,2.13,3.52,2.41,43.76,0.00,270.86,12.50,242.80,0.00
Kilpest India,532067,,Pesticides / Agrochemicals - Indian,514.40,38.35,206.52,2.82,0.02,2.92,179.46,138.73,4.34,0.19,386.22,35.08,767.85,5.92
Kimia Bioscien.,530313,,Pharmaceuticals - Indian - Bulk Drugs,42.00,74.94,138.73,1.41,2.25,10.78,16.66,32.07,57.60,0.00,198.71,1.67,76.50,0.00
Kinetic Engg.,500240,KINETICENG,Auto Ancillaries,59.45,49.13,106.49,1.17,8.86,13.65,0.15,-58.80,,0.00,105.28,0.27,222.40,0.00
Kinetic Trust,531274,,Finance & Investments,6.08,71.43,0.13,1.07,0.01,0.54,-0.78,-0.78,,0.00,2.04,0.02,27.19,0.00
Kingfa Science,524019,KINGFA,Plastics Products,999.35,74.99,804.40,1.45,0.12,3.42,3.83,1.51,66.13,0.00,1210.26,23.95,1321.90,0.00
Kings Infra,530215,,Construction,35.75,71.69,42.24,7.72,0.85,3.09,8.60,5.40,42.89,0.00,84.06,0.67,37.50,0.00
Kintech Renew.,512329,,Power Generation And Supply,313.50,74.80,5.81,197.17,0.00,2.66,3.79,2.58,104.50,0.32,31.35,4.07,467.00,33.33
KIOCL,540680,KIOCL,Mining / Minerals / Metals,306.05,99.03,2988.96,7.66,0.06,9.37,20.42,15.36,36.83,0.54,18600.22,1454.87,506.45,33.09
